date,bitcoin_price_Open,bitcoin_price_High,bitcoin_price_Low,bitcoin_price_Close,bitcoin_price_Volume,bitcoin_price_Market.Cap,dash_price_Open,dash_price_High,dash_price_Low,dash_price_Close,dash_price_Volume,dash_price_Market.Cap,ethereum_price_Open,ethereum_price_High,ethereum_price_Low,ethereum_price_Close,ethereum_price_Volume,ethereum_price_Market.Cap,iota_price_Open,iota_price_High,iota_price_Low,iota_price_Close,iota_price_Volume,iota_price_Market.Cap,litecoin_price_Open,litecoin_price_High,litecoin_price_Low,litecoin_price_Close,litecoin_price_Volume,litecoin_price_Market.Cap,monero_price_Open,monero_price_High,monero_price_Low,monero_price_Close,monero_price_Volume,monero_price_Market.Cap,nem_price_Open,nem_price_High,nem_price_Low,nem_price_Close,nem_price_Volume,nem_price_Market.Cap,neo_price_Open,neo_price_High,neo_price_Low,neo_price_Close,neo_price_Volume,neo_price_Market.Cap,numeraire_price_Open,numeraire_price_High,numeraire_price_Low,numeraire_price_Close,numeraire_price_Volume,numeraire_price_Market.Cap,omisego_price_Open,omisego_price_High,omisego_price_Low,omisego_price_Close,omisego_price_Volume,omisego_price_Market.Cap,qtum_price_Open,qtum_price_High,qtum_price_Low,qtum_price_Close,qtum_price_Volume,qtum_price_Market.Cap,ripple_price_Open,ripple_price_High,ripple_price_Low,ripple_price_Close,ripple_price_Volume,ripple_price_Market.Cap,stratis_price_Open,stratis_price_High,stratis_price_Low,stratis_price_Close,stratis_price_Volume,stratis_price_Market.Cap,waves_price_Open,waves_price_High,waves_price_Low,waves_price_Close,waves_price_Volume,waves_price_Market.Cap,vix_Open,vix_High,vix_Low,vix_Close,gold_USD,gold_EURO,gold_JPY,gold_GBP,crude_oil_WTI,crude_oil_Brent,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume,nasdaq_Open,nasdaq_High,nasdaq_Low,nasdaq_Close,nasdaq_Volume,usepunidexd
2/20/18,11231.8,11958.5,11231.8,11403.7,9926540000,1.90E+11,728.99,738.74,685.04,685.04,126208000,5754970000,943.57,965.26,892.95,895.37,2545260000,92206500000,2.09,2.12,1.88,1.91,49930400,5800510000,223.09,253.9,222.51,232.85,1739670000,12335100000,317,321.73,303.79,304.4,71114700,4989710000,0.529133,0.529133,0.481098,0.484397,66039700,4762190000,137.95,142.01,127.86,128.36,239238000,8966490000,24.47,29.84,23.59,23.84,1697590,31586100,17.72,20.2,17.71,18.4,109202000,1.81E+09,32.72,33.41,31.02,31.11,203359000,2417680000,1.14,1.17,1.08,1.09,806673000,44648100000,9.91,10.17,9.02,9.13,21055000,978923000,8.1,8.49,7.94,8.03,46087500,810038000,20.53,21.61,19.75,20.6,1339.85,1085.69,143518.00,956.69,61.91,64.68,25124.91016,25179.00977,24884.189,24964.75,421510000,7209.03,7295.95,7206.00,7234.31,1911170000,80.13
2/19/18,10552.6,11273.8,10513.2,11225.3,7652090000,1.78E+11,687.7,731.11,687.22,728.73,89328600,5427640000,921.67,957.78,921.55,943.87,2169020000,90047700000,1.99,2.14,1.99,2.09,32581400,5521610000,215.41,226.97,215.38,223.06,767597000,11907900000,299.7,319.73,297.65,316.49,67482400,4716460000,0.528994,0.537727,0.518834,0.529261,91007400,4760950000,127.23,138.52,126.7,137.47,201551000,8270290000,20.37,27.24,20.28,24.42,1940870,26292900,16.49,18.37,16.32,17.69,54814700,1682870000,31.41,32.93,31.19,32.66,197224000,2321060000,1.12,1.17,1.12,1.14,556304000,43813300000,9.26,10.18,9.1,9.95,22415800,914001000,7.54,8.15,7.44,8.1,37813100,753733000,NA,NA,NA,NA,1346.60,1086.27,143433.08,962.30,0,64.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.45
2/18/18,11123.4,11349.8,10326,10551.8,8744010000,1.88E+11,744.09,747.42,673.57,689.28,96752600,5871020000,973.35,982.93,915.45,923.92,2567290000,95077100000,2.2,2.21,1.98,1.98,43653800,6121620000,230.51,232.64,214.46,215.74,1011120000,12738800000,325.96,327.77,294.42,300.12,68135100,5128420000,0.595298,0.595298,0.527599,0.530407,95781300,5357680000,136.4,137.95,124.32,127.38,207624000,8866100000,22.69,23.78,20.43,20.43,145246,29298400,18.32,18.41,16.35,16.66,42287800,1869770000,33.47,33.68,29.97,31.24,181070000,2473010000,1.2,1.21,1.09,1.12,1113650000,46997500000,9.76,9.78,8.82,9.26,14139400,963499000,7.84,8.09,7.13,7.54,40081300,784044000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.51
2/17/18,10207.5,11139.5,10149.4,11112.7,8660880000,1.72E+11,699.13,748.89,693.64,742.16,116106000,5515090000,944.75,976.6,940.75,974.12,2525720000,9.23E+10,2.1,2.21,2.08,2.2,42149700,5842140000,229.5,233.45,225.6,229.47,863401000,12679700000,296,334.71,293.13,325.67,134269000,4655820000,0.565686,0.602952,0.560204,0.59888,147788000,5091170000,131.03,139.8,129.42,136.75,286385000,8516620000,21.24,23.32,20.99,23.25,212041,27463300,18.17,18.64,17.69,18.29,59295600,1853770000,33.17,33.69,32.67,33.56,178525000,2450940000,1.14,1.22,1.13,1.2,1186730000,44370200000,9.53,9.95,9.42,9.76,19415600,940978000,7.88,7.96,7.63,7.84,34458200,788332000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.93
2/16/18,10135.7,10324.1,9824.82,10233.9,7296160000,1.71E+11,702.53,722.02,684.28,698.86,100343000,5540570000,934.79,950,917.85,944.21,2369450000,91272100000,2.12,2.18,2,2.1,44770200,5894520000,225.5,236.09,212.33,230.12,1300090000,12455300000,301.01,302.1,280.22,296.48,64320200,4733640000,0.560086,0.598202,0.548458,0.568887,90028500,5040780000,123.02,130.62,119.94,128.85,194878000,7996380000,22.06,22.68,20.55,21.25,106464,28525200,16.67,18.23,16.03,18.17,81337500,1701370000,33.03,33.95,31.99,33.02,166522000,2440380000,1.14,1.15,1.11,1.14,568339000,44663300000,9.5,9.79,9,9.56,14430300,938100000,8,8.36,7.49,7.9,44143700,800093000,18.74,20.99,17.44,19.46,1352.10,1086.16,143383.43,962.97,61.89,64.3,25165.93945,25432.41992,25149.25977,25219.38086,406730000,7236.51,7303.26,7226.38,7239.47,2019830000,80.64
2/15/18,9488.32,10234.8,9395.58,10166.4,9062540000,1.60E+11,679.79,705.67,667.21,703.86,116822000,5359910000,923.73,951.95,911.11,936.98,2900100000,90173300000,2.03,2.17,2,2.13,65315300,5635360000,212.35,237.88,211.17,225.43,2087290000,11725700000,276.08,304.78,269.32,303.25,85772700,4340620000,0.569045,0.588881,0.544115,0.561359,67295600,5121400000,122,125.76,118.79,123.29,218616000,7930300000,22.04,23.17,21.13,22.16,186324,28493800,15.63,16.71,14.99,16.67,54142700,1594790000,32.42,33.53,31.91,33.06,222910000,2394940000,1.14,1.16,1.11,1.15,1188530000,44433600000,9.26,9.76,9.08,9.54,23848900,914277000,6.42,8.07,6.38,8.07,61670200,641992000,18.39,20.66,17.6,19.13,1352.45,1083.74,143704.56,962.05,61.48,62.86,25047.82031,25203.94922,24809.41992,25200.36914,416780000,7200.75,7256.93,7130.39,7256.43,2110700000,88.74
2/14/18,8599.92,9518.54,8599.92,9494.63,7909820000,1.45E+11,593.59,685.12,593.59,678.98,138992000,4679080000,844.28,926.43,844.28,923.56,2818370000,82400600000,1.82,2.03,1.79,2.03,53007600,5052450000,159.58,218.23,159.58,213.36,2383340000,8809590000,234.34,276.66,234.34,276.66,116137000,3683460000,0.53192,0.570553,0.528626,0.570005,73477500,4787280000,110.86,123.03,110.86,122.52,228693000,7206140000,20.37,22.31,19.81,22.1,382246,26338300,12.97,15.72,12.97,15.66,91650800,1323570000,30.04,32.62,29.99,32.55,334300000,2219240000,1.03,1.17,1.02,1.14,1457600000,40026500000,7.91,9.74,7.91,9.36,47682600,780623000,5.59,6.44,5.58,6.42,20068500,558952000,23.48,25.72,18.99,19.26,1336.25,1077.06,142751.57,956.93,60.7,62.29,24535.82031,24925.94922,24490.35938,24893.49023,431160000,6979.24,7152.05,6977.07,7143.62,2211460000,107.10
2/13/18,8926.72,8958.47,8455.41,8598.31,5696720000,1.51E+11,622.12,625.75,583.4,595.47,73287300,4902660000,869.29,870.71,828.84,845.26,2081170000,84824200000,1.87,1.87,1.75,1.81,30056900,5211600000,161.78,162.37,153.51,159.55,483468000,8928360000,247.99,248.88,230.03,234.69,46476400,3897150000,0.560197,0.567745,0.52682,0.533186,36379100,5041770000,113.64,114.93,108.64,111.17,176966000,7386420000,21.73,22.22,20.18,20.18,284117,28094400,12.88,13.06,12.31,12.99,23326000,1314360000,30.21,30.46,28.55,30.11,242714000,2231570000,1.08,1.08,1.01,1.03,921100000,42119800000,7.93,8.24,7.55,7.95,17510200,782976000,5.74,5.76,5.4,5.6,17030400,574298000,26.94,27.82,24.47,24.97,1325.35,1072.64,142468.48,954.93,59.33,61.94,24540.33008,24705.7207,24421.0293,24640.44922,374410000,6942.16,7025.68,6938.16,7013.51,1816670000,104.58
2/12/18,8141.43,8985.92,8141.43,8926.57,6256440000,1.37E+11,582.83,626.77,582.83,620.56,76646200,4591910000,817.51,875.94,817.51,868.71,2243450000,79754400000,1.71,1.91,1.71,1.87,36974300,4763780000,150.1,163.35,150.1,161.57,535710000,8282050000,229.87,251.41,229.87,247.57,45760100,3611420000,0.532219,0.561441,0.530871,0.557894,22479700,4789980000,104.18,115.85,104.18,113.25,272089000,6771600000,18.43,24.17,17.81,21.98,1239570,23825800,11.95,13,11.93,12.84,24588600,1219240000,27.58,30.81,27.58,30.13,212954000,2037250000,1.01,1.11,1.01,1.08,1756290000,39262700000,7.03,7.98,7.03,7.9,10176500,694445000,5.49,5.89,5.49,5.72,20167600,548602000,27.25,29.7,24.42,25.61,1322.30,1077.14,143529.03,957.60,59.41,62.2,24337.75977,24765.16016,24290.48047,24601.26953,496610000,6936.68,7023.62,6879.69,6981.96,2240420000,80.89
2/11/18,8616.13,8616.13,7931.1,8129.97,6122190000,1.45E+11,633.43,633.43,561.91,580.02,81111400,4989410000,859.29,859.29,788.22,814.66,2486650000,8.38E+10,1.86,1.86,1.62,1.7,45356200,5165180000,155.39,155.73,142.61,148.99,495720000,8571530000,249.44,249.44,219.23,229.49,51680100,3917970000,0.589823,0.589823,0.514947,0.52864,28515100,5308410000,110.45,113.19,96.78,103.4,257944000,7.18E+09,19.85,20.74,16.24,18.31,596317,25660900,12.54,12.67,11.06,11.86,29981600,1279750000,30.21,30.21,26.26,27.48,258212000,2231910000,1.07,1.08,0.929767,1,2555310000,41635500000,7.84,7.84,6.61,6.99,9233680,774245000,5.72,5.72,5.01,5.45,21599600,571865000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.19
2/10/18,8720.08,9122.55,8295.47,8621.9,7780960000,1.47E+11,639.42,672.16,604.84,634.1,116397000,5035300000,882.47,917.4,825.58,860.41,2930530000,86055600000,1.96,2.13,1.79,1.86,68051900,5437920000,163.49,169.33,149.14,155.59,576328000,9015890000,260.59,271.82,243.91,250.03,76435300,4092070000,0.598384,0.64492,0.55753,0.590511,74166200,5385460000,117.21,122.84,104.98,110.63,355323000,7618880000,16.17,21.7,15.41,19.39,1233990,20936000,13.2,13.88,11.93,12.51,43385500,1346830000,30.83,34.59,29.09,30.27,421275000,2277460000,0.947251,1.3,0.947251,1.07,4682010000,36951500000,8.26,8.86,7.19,7.86,20070700,815645000,6.06,6.32,5.47,5.72,29552400,606151000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.06
2/9/18,8271.84,8736.98,7884.71,8736.98,6784820000,1.39E+11,606.76,638.33,577.45,637.82,93581200,4776920000,818.48,884,788.83,883.87,2495820000,79799300000,1.78,1.97,1.7,1.96,45992000,4953720000,149.73,163.98,142.59,163.95,722205000,8254980000,247.82,260.84,233.44,260.43,77557200,3890810000,0.544268,0.590486,0.517372,0.590486,60340000,4898410000,111.99,117.65,108.84,117.57,212450000,7279310000,15.57,16.65,14.43,16.16,243876,20163900,12.21,13.21,11.56,13.2,41973800,1246080000,27.79,31.59,25.98,31.16,618154000,2052790000,0.79714,0.954428,0.77154,0.954428,1690340000,31095800000,7.31,8.22,6.95,8.21,12699200,721390000,5.6,6.09,5.3,6.04,24332800,559784000,32.18,41.06,27.73,29.06,1314.10,1072.87,142822.94,951.76,59.2,63.04,23992.66992,24382.14063,23360.28906,24190.90039,735030000,6863.34,6917.01,6630.67,6874.49,3155990000,82.68
