currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
dji,17348,21229.13095,178.8994331,21479.26953,1,62569.3113,250.1385842,0.011645582,Inf,3,4,0,-276.395234,-0.262908478,-1,0
dji,17349,21420.24378,224.5106446,21479.26953,1,3484.039386,59.02575189,0.002748033,Inf,5,4,0,-266.0419089,-0.399331843,-1,0
dji,17350,21388.84148,226.4483794,21479.26953,1,8177.231988,90.42804868,0.004210015,Inf,5,3,0,-265.6297841,-0.189441059,-1,0
dji,17351,21437.03504,222.9426424,21478.16992,1,1692.078367,41.13488017,0.001915195,Inf,5,4,0,-265.5027079,0.020768052,0,1.09961
dji,17352,21482.87794,226.6954107,21478.16992,1,22.16547192,4.708022082,0.0002192,Inf,5,4,0,-265.136674,0.03270111,0,0
dji,17353,21485.8217,233.9913256,21320.03906,1,27483.88246,165.7826362,0.007775907,Inf,2,5,0,-265.2081304,0.293590045,1,0
dji,17354,21385.52011,223.0356644,21414.33984,1,830.5767914,28.8197292,0.001345815,Inf,4,5,0,-264.8333668,-0.34743857,-1,94.30078
dji,17355,21335.56522,226.7296311,21408.51953,1,5322.331165,72.95430875,0.003407723,Inf,3,5,0,-265.5039711,-0.325662043,-1,5.82031
dji,17356,21344.13275,197.7104196,21408.51953,1,4145.657333,64.38677918,0.003007531,Inf,5,4,0,-272.0075903,-0.22116137,-1,0
dji,17357,21365.18325,195.9487086,21408.51953,1,1878.033583,43.33628483,0.002024254,Inf,4,4,0,-270.9782664,-0.100149144,-1,0
dji,17358,21391.36301,171.3097484,21409.07031,1,313.5486408,17.70730473,0.000827094,Inf,5,5,0,-276.9429504,-0.026707696,0,-0.55078
dji,17359,21404.86653,157.3995457,21532.14063,1,16198.69631,127.2740991,0.005910889,Inf,5,5,0,-282.0771332,-0.747498295,-1,0
dji,17360,21406.35455,168.2760818,21553.08984,1,21531.24659,146.7352943,0.006808086,Inf,5,5,0,-279.9790843,-0.336938468,-1,-20.94921
dji,17361,21486.78457,196.787487,21637.74023,1,22787.61263,150.9556644,0.006976499,Inf,5,4,0,-274.0405525,-0.452982,-1,-84.65039
dji,17362,21543.40286,208.2585308,21629.7207,1,7450.768779,86.31783581,0.003990705,Inf,5,5,0,-269.8975351,-0.540544367,-1,8.01953
dji,17363,21514.78567,212.6282946,21629.7207,1,13210.06042,114.935027,0.005313755,Inf,5,4,0,-268.7665396,-0.415833194,-1,0
dji,17364,21545.5892,202.3203187,21629.7207,1,7078.110027,84.13150437,0.003889625,Inf,3,5,0,-272.1626516,-0.30417939,-1,0
dji,17365,21569.50464,197.9623132,21574.73047,1,27.3092541,5.225825686,0.00024222,Inf,5,5,0,-272.393419,0.0643658,0,54.99023
dji,17366,21588.25839,210.1725476,21640.75,1,2755.368687,52.49160588,0.002425591,Inf,5,5,0,-270.1419981,-0.368748976,-1,0
dji,17367,21568.59767,195.6678911,21611.7793,1,1864.653557,43.18163448,0.00199806,Inf,5,5,0,-272.621628,-0.019055523,0,28.9707
dji,17368,21608.60706,166.4733844,21580.07031,1,814.3462494,28.53675261,0.001322366,Inf,5,5,0,-279.0844349,-0.255078316,-1,0
dji,17369,21538.84336,161.6246847,21513.16992,1,659.1254001,25.67343764,0.001193382,Inf,5,5,0,-280.4796323,0.102150185,1,66.90039
dji,17370,21529.74751,162.2864398,21513.16992,1,274.8164875,16.57758992,0.000770579,Inf,5,5,0,-280.1846252,-0.094027881,-1,0
dji,17371,21497.89922,162.4061267,21513.16992,1,233.1943997,15.27070397,0.00070983,Inf,5,5,0,-280.2445225,-0.376408064,-1,0
dji,17372,21452.10138,162.2402418,21613.42969,1,26026.82211,161.3283054,0.007464262,Inf,5,5,0,-280.1468275,-0.127009252,-1,-100.25977
dji,17373,21589.81782,185.906672,21711.00977,1,14687.48808,121.1919473,0.00558205,Inf,4,5,0,-272.3169371,-0.286473262,-1,-97.58008
dji,17374,21654.55358,197.0731663,21796.55078,1,20163.20559,141.9972028,0.006514664,Inf,4,5,0,-268.5719335,-0.020871385,0,-85.54101
dji,17375,21792.23796,206.6378925,21830.31055,1,1449.522031,38.07258897,0.001744024,Inf,5,5,0,-270.0334622,-0.109502954,-1,0
dji,17376,21808.59877,198.2757431,21891.11914,1,6809.611386,82.52036952,0.003769582,Inf,4,5,0,-272.5492575,-0.176286295,-1,-60.80859
dji,17377,21854.7593,206.254472,21891.11914,1,1322.037725,36.35983671,0.00166094,Inf,5,5,0,-270.4100116,-0.123710012,-1,0
dji,17378,21869.92327,171.3351241,21891.11914,1,449.2649182,21.19587031,0.000968241,Inf,5,5,0,-279.8409148,-0.068263934,0,0
dji,17379,21879.37849,171.9891099,21963.91992,1,7147.253938,84.54143326,0.003849105,Inf,5,5,0,-279.6789926,-0.126725731,-1,0
dji,17380,21941.19582,179.3171633,22016.24023,1,5631.663251,75.04440853,0.003408593,Inf,5,5,0,-277.2924104,0.254622147,1,-52.32031
dji,17381,22061.82373,179.024081,22026.09961,1,1276.212458,35.72411592,0.001621899,Inf,5,5,0,-277.3716594,-0.21886365,-1,9.85938
dji,17382,21986.56229,180.6481696,22092.81055,1,11288.69228,106.2482578,0.004809178,Inf,5,5,0,-276.980878,0.021918874,0,-66.71094
dji,17383,22096.25405,157.1022419,22118.41992,1,491.3256041,22.16586574,0.001002145,Inf,5,5,0,-284.8146292,0.019338944,0,0
dji,17384,22121.37732,152.9245277,22118.41992,1,8.746208434,2.95739893,0.000133708,Inf,5,4,0,-287.5842896,-0.170935969,-1,0
dji,17385,22092.68122,150.5750817,22118.41992,1,662.4805511,25.73869754,0.001163677,Inf,3,5,0,-287.8482286,-0.16494391,-1,0
dji,17386,22092.84801,155.0339669,22085.33984,1,56.37263653,7.508171317,0.000339962,Inf,5,5,0,-287.1738398,-0.541536846,-1,33.08008
dji,17387,22011.13345,137.0292537,22048.69922,1,1411.18707,37.56576992,0.001703764,Inf,5,5,0,-290.4928128,-0.384415759,-1,36.64062
dji,17388,21995.52483,138.3252114,21844.00977,1,22956.81307,151.5150589,0.006936229,Inf,5,5,0,-289.8898634,-0.381831435,-1,204.68945
