currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
ethereum,17348,294.92,80.25608298,274.6,1,412.9024,20.32,0.073998543,Inf,0,0,1,-70.45571592,0,0,0
ethereum,17349,274.6,76.08081125,287.99,1,179.2921,13.39,0.04649467,Inf,0,0,1,-69.42036745,0,0,0
ethereum,17350,287.99,80.4184455,282.9,1,25.9081,5.09,0.017992223,Inf,0,0,1,-68.96869809,0,0,0
ethereum,17351,282.9,76.88976885,273.3,1,92.16,9.6,0.035126235,Inf,0,0,1,-70.52714563,0,0,0
ethereum,17352,273.3,74.5581449,268.77,1,20.5209,4.53,0.01685456,Inf,0,0,1,-70.31213301,0,0,0
ethereum,17353,268.77,72.35954995,270.55,1,3.1684,1.78,0.006579191,Inf,0,0,1,-71.07413249,0,0,0
ethereum,17354,270.55,72.6886621,245.99,1,603.1936,24.56,0.099841457,Inf,0,0,1,-71.1930719,0,0,0
ethereum,17355,245.99,68.23239083,251.7,1,32.6041,5.71,0.022685737,Inf,0,0,1,-69.35420867,0,0,0
ethereum,17356,251.7,68.60443317,242.14,1,91.3936,9.56,0.039481292,Inf,0,0,1,-70.36343413,0,0,0
ethereum,17357,242.14,58.07756398,215.36,1,717.1684,26.78,0.124349926,Inf,0,0,1,-77.73904923,0,0,0
ethereum,17358,215.36,54.83919444,197.4,1,322.5616,17.96,0.090982776,Inf,0,0,1,-74.28634174,0,0,0
ethereum,17359,197.4,46.05307886,230.77,1,1113.5569,33.37,0.144602851,Inf,0,0,1,-79.33828244,0,0,0
ethereum,17360,230.77,59.92610901,209.73,1,442.6816,21.04,0.100319458,Inf,0,0,1,-73.15592612,0,0,0
ethereum,17361,209.73,54.19553407,199.66,1,101.4049,10.07,0.050435741,Inf,0,0,1,-73.43931896,0,0,0
ethereum,17362,199.66,52.07906442,170.66,1,841,29,0.169928513,Inf,0,0,1,-72.89889772,0,0,0
ethereum,17363,170.66,48.56292273,157.36,1,176.89,13.3,0.084519573,Inf,0,0,1,-67.88142528,0,0,0
ethereum,17364,157.36,45.65827971,193.42,1,1300.3236,36.06,0.186433668,Inf,0,0,1,-66.76029631,0,0,0
ethereum,17365,193.42,63.22853956,234.39,1,1678.5409,40.97,0.174794147,Inf,0,0,1,-59.89805722,0,0,0
ethereum,17366,234.39,83.46125827,199.7,1,1203.3961,34.69,0.173710566,Inf,0,0,1,-54.9859603,-0.291275479,-1,0
ethereum,17367,181.6293397,62.039758,227.26,1,2082.157155,45.63066025,0.200786149,Inf,2,0,1,-52.16822597,0,0,-27.56
ethereum,17368,227.26,87.15020145,218.31,1,80.1025,8.95,0.040996748,Inf,0,0,1,-50.73349563,0,0,0
ethereum,17369,218.31,83.96676047,229.48,1,124.7689,11.17,0.048675266,Inf,0,0,1,-50.56349257,0,0,0
ethereum,17370,229.48,88.6249072,225.95,1,12.4609,3.53,0.015622925,Inf,0,0,1,-50.32901007,0,0,0
ethereum,17371,225.95,86.83160627,224.71,1,1.5376,1.24,0.005518223,Inf,0,0,1,-50.61208632,0,0,0
ethereum,17372,224.71,85.68145579,206.71,1,324,18,0.087078516,Inf,0,0,1,-51.06089487,0,0,0
ethereum,17373,206.71,78.1813967,203.95,1,7.6176,2.76,0.013532729,Inf,0,0,1,-51.52581599,0,0,0
ethereum,17374,203.95,76.39934667,204.32,1,0.1369,0.37,0.001810885,Inf,0,0,1,-52.07710234,0,0,0
ethereum,17375,204.32,74.65066959,193.12,1,125.44,11.2,0.057995029,Inf,0,0,1,-53.50908411,0,0,0
ethereum,17376,193.12,70.10832213,205.79,1,160.5289,12.67,0.061567617,Inf,0,0,1,-53.87641333,0,0,0
ethereum,17377,205.79,75.21708877,197.98,1,60.9961,7.81,0.039448429,Inf,0,0,1,-53.48670315,0,0,0
ethereum,17378,197.98,71.83265453,203.87,1,34.6921,5.89,0.02889096,Inf,0,0,1,-53.90834965,0,0,0
ethereum,17379,203.87,73.75533976,226.77,1,524.41,22.9,0.100983375,Inf,0,0,1,-54.0748846,-0.007325193,0,0
ethereum,17380,226.1921548,78.88463944,219.95,1,38.96449606,6.242154761,0.028379881,Inf,1,0,0,-53.00977892,0.00259541,0,0
ethereum,17381,220.1467493,75.80664488,225.34,1,26.96985294,5.19325071,0.023046289,Inf,1,0,0,-53.90723228,-0.026897108,0,0
