date,bitcoin_price_Close,ethereum_price_Close,litecoin_price_Close,neo_price_Close,ripple_price_Close
1/1/2017,998.33,8.17,4.51,0.141841,0.006368
1/2/2017,1021.75,8.38,4.65,0.145642,0.006311
1/3/2017,1043.84,9.73,4.63,0.140422,0.006386
1/4/2017,1154.73,11.25,4.84,0.136734,0.00657
1/5/2017,1013.38,10.25,4.29,0.13107,0.006201
1/6/2017,902.2,10.25,3.86,0.135472,0.006315
1/7/2017,908.59,9.87,3.96,0.131104,0.006366
1/8/2017,911.2,10.29,3.99,0.132609,0.006233
1/9/2017,902.83,10.33,4.3,0.123767,0.006167
1/10/2017,907.68,10.55,4.59,0.133864,0.006698
1/11/2017,777.76,9.72,3.85,0.115138,0.006411
1/12/2017,804.83,9.86,3.96,0.124122,0.006423
1/13/2017,823.98,9.77,3.89,0.121321,0.006596
1/14/2017,818.41,9.65,3.9,0.122939,0.006863
1/15/2017,821.8,9.9,3.93,0.123732,0.006726
1/16/2017,831.53,9.64,3.9,0.119649,0.006788
1/17/2017,907.94,10.3,3.94,0.116638,0.0068
1/18/2017,886.62,10.23,3.84,0.123035,0.006709
1/19/2017,899.07,10.4,3.86,0.116619,0.007034
1/20/2017,895.03,10.6,3.89,0.117809,0.006675
1/21/2017,921.79,10.91,3.9,0.116309,0.006706
1/22/2017,924.67,10.7,3.84,0.114313,0.006713
1/23/2017,921.01,10.82,3.84,0.129948,0.006697
1/24/2017,892.69,10.63,3.79,0.120213,0.00654
1/25/2017,901.54,10.57,3.71,0.124216,0.006513
1/26/2017,917.59,10.59,3.83,0.133612,0.00669
1/27/2017,919.75,10.54,3.86,0.130343,0.006415
1/28/2017,921.59,10.56,3.85,0.134674,0.006342
1/29/2017,919.5,10.48,3.85,0.141204,0.006402
1/30/2017,920.38,10.57,4.02,0.15376,0.006381
1/31/2017,970.4,10.73,4.08,0.147016,0.006314
2/1/2017,989.02,10.73,4.08,0.147218,0.00654
2/2/2017,1011.8,10.82,4.09,0.145699,0.006469
2/3/2017,1029.91,11.11,4.08,0.134264,0.006474
2/4/2017,1042.9,11.43,4.06,0.135867,0.006492
2/5/2017,1027.34,11.35,4.04,0.131582,0.006442
2/6/2017,1038.15,11.39,4.04,0.126788,0.00645
2/7/2017,1061.35,11.52,4.04,0.133135,0.006407
2/8/2017,1063.07,11.43,4.02,0.129568,0.006438
2/9/2017,994.38,11.03,3.8,0.127476,0.006374
2/10/2017,988.67,11.28,3.78,0.125761,0.006289
2/11/2017,1004.45,11.35,3.79,0.125607,0.006333
2/12/2017,999.18,11.4,3.76,0.121566,0.006269
2/13/2017,990.64,11.27,3.72,0.118286,0.006251
2/14/2017,1004.55,13.03,3.77,0.116603,0.006278
2/15/2017,1007.48,12.92,3.81,0.112729,0.006147
2/16/2017,1027.44,12.9,3.79,0.126088,0.006027
2/17/2017,1046.21,12.68,3.83,0.122661,0.005935
2/18/2017,1054.42,12.81,3.79,0.124431,0.005569
2/19/2017,1047.87,12.76,3.76,0.122905,0.005878
2/20/2017,1079.98,12.43,3.77,0.121475,0.005873
2/21/2017,1115.3,12.67,3.78,0.121561,0.005832
2/22/2017,1117.44,12.6,3.81,0.121959,0.00586
2/23/2017,1166.72,13.12,3.84,0.118724,0.005895
2/24/2017,1173.68,13.07,3.85,0.121185,0.005701
2/25/2017,1143.84,13.55,3.83,0.114526,0.005665
2/26/2017,1165.2,14.52,3.83,0.114986,0.005671
2/27/2017,1179.97,15.4,3.8,0.115376,0.005609
2/28/2017,1179.97,15.82,3.77,0.117443,0.005536
3/1/2017,1222.5,17.35,3.8,0.135197,0.005408
3/2/2017,1251.01,19.03,3.92,0.119301,0.005991
3/3/2017,1274.99,19.46,3.92,0.122444,0.006339
3/4/2017,1255.15,18.62,3.88,0.119901,0.006299
3/5/2017,1267.12,19.3,3.9,0.121757,0.006129
3/6/2017,1272.83,19.61,3.92,0.12345,0.006057
3/7/2017,1223.54,18.89,3.82,0.122573,0.006534
3/8/2017,1150,16.65,3.78,0.116242,0.006509
3/9/2017,1188.49,17.75,3.84,0.132026,0.006498
3/10/2017,1116.72,19.33,3.75,0.131476,0.006227
3/11/2017,1175.83,21.47,3.8,0.142142,0.006238
3/12/2017,1221.38,23.44,3.84,0.140575,0.006255
3/13/2017,1231.92,28.59,4.17,0.136979,0.006385
3/14/2017,1240,28.65,4.06,0.133681,0.006381
3/15/2017,1249.61,35.06,4.16,0.128653,0.006314
3/16/2017,1187.81,46.35,4.24,0.131867,0.006394
3/17/2017,1100.23,46.83,4.06,0.139902,0.006116
3/18/2017,973.82,34.16,3.97,0.158987,0.00671
3/19/2017,1036.74,44.74,3.96,0.15756,0.006912
3/20/2017,1054.23,43.39,4.03,0.153898,0.006975
3/21/2017,1120.54,43.15,4.01,0.164934,0.006909
3/22/2017,1049.14,42.34,3.94,0.173143,0.007301
3/23/2017,1038.59,43.68,3.98,0.166412,0.010582
3/24/2017,937.52,53.11,4.08,0.166465,0.010518
3/25/2017,972.78,51.25,4.07,0.167305,0.009116
3/26/2017,966.73,50.52,4.06,0.160384,0.009545
3/27/2017,1045.77,49.67,4.08,0.186426,0.009597
3/28/2017,1047.15,50.77,4.16,0.220632,0.009514
3/29/2017,1039.97,53.13,4.19,0.212428,0.010101
3/30/2017,1026.43,52.21,6.98,0.210556,0.013276
3/31/2017,1071.79,50.04,6.67,0.203541,0.020889
4/1/2017,1080.5,50.7,6.88,0.205017,0.021892
4/2/2017,1102.17,48.75,7.74,0.20548,0.061159
4/3/2017,1143.81,44.36,8.07,0.199703,0.033023
4/4/2017,1133.25,44.64,8.29,0.185002,0.037455
4/5/2017,1124.78,45.3,11.09,0.184719,0.035544
4/6/2017,1182.68,43.24,10.25,0.18643,0.032665
4/7/2017,1176.9,42.16,9.37,0.188531,0.036319
4/8/2017,1175.95,44.31,9.92,0.190221,0.035849
4/9/2017,1187.87,43.27,8.71,0.188861,0.03402
4/10/2017,1187.13,43.44,8.92,0.207874,0.033598
4/11/2017,1205.01,43.41,8.85,0.197826,0.032952
4/12/2017,1200.37,46.29,10.79,0.195553,0.034336
4/13/2017,1169.28,50.22,10.15,0.191686,0.034383
4/14/2017,1167.54,47.57,10.39,0.192958,0.033779
4/15/2017,1172.52,49.1,10.79,0.192164,0.033955
4/16/2017,1182.94,48.72,10.71,0.192076,0.033462
4/17/2017,1193.91,48.3,10.42,0.191489,0.033655
4/18/2017,1211.67,50.71,10.32,0.180479,0.033183
4/19/2017,1210.29,48.31,9.66,0.189408,0.030173
4/20/2017,1229.08,49.67,10.33,0.184725,0.029984
4/21/2017,1222.05,48.22,11.23,0.178122,0.03278
4/22/2017,1231.71,48.55,13.06,0.183058,0.03177
4/23/2017,1207.21,48.49,13.94,0.17496,0.031278
4/24/2017,1250.15,50.03,14.97,0.173758,0.031384
4/25/2017,1265.49,49.89,15.21,0.183504,0.032346
4/26/2017,1281.08,52.72,14.85,0.184577,0.032797
4/27/2017,1317.73,62.17,14.62,0.202092,0.034816
4/28/2017,1316.48,70.16,14.34,0.229255,0.044475
4/29/2017,1321.79,68.38,15.74,0.271729,0.052868
4/30/2017,1347.89,79.02,15.71,0.360099,0.051607
5/1/2017,1421.6,76.3,15.92,0.318838,0.055115
5/2/2017,1452.82,77.26,15.89,0.314833,0.053908
5/3/2017,1490.09,79.72,21.04,0.343782,0.06049
5/4/2017,1537.67,96.98,23.39,0.500309,0.078914
5/5/2017,1555.45,94.4,26.27,0.576426,0.09355
5/6/2017,1578.8,97.81,28.16,0.58767,0.101791
5/7/2017,1596.71,94.01,30.29,0.535792,0.141763
5/8/2017,1723.35,91.42,28.96,0.496572,0.198212
5/9/2017,1755.36,91.16,33.58,0.44937,0.160074
5/10/2017,1787.13,89.52,31.96,0.503894,0.186066
5/11/2017,1848.57,89.88,30.72,0.481077,0.183135
5/12/2017,1724.24,88.66,27.45,0.487684,0.206068
5/13/2017,1804.91,90.84,28.91,0.484544,0.214878
5/14/2017,1808.91,90.79,28.89,0.477543,0.220223
5/15/2017,1738.43,92.41,25.37,0.470057,0.27072
5/16/2017,1734.45,89.44,23.33,0.463667,0.349861
5/17/2017,1839.09,89.86,25.4,0.531643,0.394132
5/18/2017,1888.65,96.91,28.36,0.539481,0.364869
5/19/2017,1987.71,129.53,27.7,0.63186,0.327801
5/20/2017,2084.73,126.52,27.51,0.665485,0.351634
5/21/2017,2041.2,157.94,26.3,0.664141,0.336201
5/22/2017,2173.4,174.26,25.38,0.720486,0.317954
5/23/2017,2320.42,181.95,32.11,0.877157,0.323368
5/24/2017,2443.64,190.05,34.45,1.76,0.29589
5/25/2017,2304.98,174.45,29.9,1.11,0.246065
5/26/2017,2202.42,160.4,23.75,0.826549,0.271808
5/27/2017,2038.87,157.76,23.74,0.982348,0.212549
5/28/2017,2155.8,170.51,24.22,0.930106,0.229554
5/29/2017,2255.61,194.91,25.21,0.966765,0.23207
5/30/2017,2175.47,231.91,24.14,1.02,0.205324
5/31/2017,2286.41,230.67,25.3,1.03,0.24659
6/1/2017,2407.88,222.24,28.8,1.24,0.333657
6/2/2017,2488.55,223.78,28.94,1.35,0.303448
6/3/2017,2515.35,224.38,27.66,1.26,0.29458
6/4/2017,2511.81,245.33,27.94,1.26,0.299413
6/5/2017,2686.81,248.46,30.84,1.28,0.294003
6/6/2017,2863.2,264.47,30.55,1.34,0.284548
6/7/2017,2732.16,258.07,28.39,1.28,0.279783
6/8/2017,2805.62,261.67,30.21,1.36,0.289678
6/9/2017,2823.81,281.74,29.68,1.55,0.286019
6/10/2017,2947.71,337.67,30.44,1.68,0.260874
6/11/2017,2958.11,340.61,33.22,1.67,0.272759
6/12/2017,2659.63,401.49,29.5,1.51,0.253964
6/13/2017,2717.02,397.54,30.64,1.81,0.266153
6/14/2017,2506.37,359.05,30.22,1.74,0.278447
6/15/2017,2464.58,361.93,30.22,1.78,0.259266
6/16/2017,2518.56,370.23,35.7,2.77,0.262068
6/17/2017,2655.88,379.41,47.65,3.76,0.268351
6/18/2017,2548.29,371.46,46.04,5.26,0.2846
6/19/2017,2589.6,370.06,50.32,11.72,0.296068
6/20/2017,2721.79,359,47.22,8,0.324427
6/21/2017,2689.1,336.87,47.79,10.15,0.296366
6/22/2017,2705.41,336.37,47.71,6.94,0.297848
6/23/2017,2744.91,341.74,47.34,6.84,0.319978
6/24/2017,2608.72,323.7,44.49,6.3,0.31111
6/25/2017,2589.41,303.25,43.92,5.95,0.298423
6/26/2017,2478.45,272.69,41.13,5.53,0.277288
6/27/2017,2552.45,293.09,40.54,6.83,0.276306
6/28/2017,2574.79,327.93,42.85,8.38,0.280455
6/29/2017,2539.32,302.88,41.07,9.77,0.265421
6/30/2017,2480.84,294.92,40.35,8.73,0.26293
7/1/2017,2434.55,274.6,38.99,7.95,0.254744
7/2/2017,2506.47,287.99,41.57,8.1,0.259449
7/3/2017,2564.06,282.9,46.43,8.22,0.259959
7/4/2017,2601.64,273.3,55.33,7.78,0.254709
7/5/2017,2601.99,268.77,53.19,8.03,0.256523
7/6/2017,2608.56,270.55,51.13,7.84,0.254641
7/7/2017,2518.66,245.99,46.58,6.77,0.23948
7/8/2017,2571.34,251.7,52.14,7.45,0.236134
7/9/2017,2518.44,242.14,49.58,6.9,0.233416
7/10/2017,2372.56,215.36,46.58,6.03,0.203165
7/11/2017,2337.79,197.4,45.33,5.4,0.185019
7/12/2017,2398.84,230.77,48.75,6.63,0.205354
7/13/2017,2357.9,209.73,46.33,6.29,0.200809
7/14/2017,2233.34,199.66,42.8,5.54,0.190769
7/15/2017,1998.86,170.66,38.92,5.03,0.170589
7/16/2017,1929.82,157.36,40.91,5.04,0.148056
7/17/2017,2228.41,193.42,42.67,5.77,0.177889
7/18/2017,2318.88,234.39,44.3,6.02,0.188718
7/19/2017,2273.43,199.7,40.86,5.88,0.168388
7/20/2017,2817.6,227.26,45.02,7.21,0.188295
7/21/2017,2667.76,218.31,45.76,7.42,0.182608
7/22/2017,2810.12,229.48,46.56,8.62,0.19332
7/23/2017,2730.4,225.95,44.06,8.57,0.195058
7/24/2017,2754.86,224.71,44.41,8.46,0.192002
7/25/2017,2576.48,206.71,42.24,7.35,0.178104
7/26/2017,2529.45,203.95,42.23,7.17,0.173822
7/27/2017,2671.78,204.32,42.14,7.72,0.173457
7/28/2017,2809.01,193.12,40.61,7.09,0.165937
7/29/2017,2726.45,205.79,41.12,7.26,0.169871
7/30/2017,2757.18,197.98,40.42,7.15,0.165082
7/31/2017,2875.34,203.87,43.02,7.33,0.167386
8/1/2017,2718.26,226.77,43.04,7.86,0.177053
8/2/2017,2710.67,219.95,42.13,8.11,0.173113
8/3/2017,2804.73,225.34,42.86,10.67,0.174612
8/4/2017,2895.89,223.07,43.45,10.43,0.173743
8/5/2017,3252.91,256.51,46.86,14.02,0.184737
8/6/2017,3213.94,261.57,45.1,15.21,0.180444
8/7/2017,3378.94,269.18,45.8,18.68,0.179021
8/8/2017,3419.94,296.77,48.63,18.27,0.192586
8/9/2017,3342.47,296.03,48.01,21.75,0.182947
8/10/2017,3381.28,295.89,46.5,36.18,0.180399
8/11/2017,3650.62,308.86,47.1,33.5,0.179307
8/12/2017,3884.71,310.6,46.43,36.61,0.173853
8/13/2017,4073.26,298.06,45.81,46.65,0.168092
8/14/2017,4325.13,300.1,45.8,47.43,0.169991
8/15/2017,4181.93,289.82,43.31,47.49,0.161221
8/16/2017,4376.63,302.27,44.15,45.54,0.160431
8/17/2017,4331.69,301.46,43.91,40.69,0.157498
8/18/2017,4160.62,295.59,47.28,38.85,0.158883
8/19/2017,4193.7,297.47,45.48,39.97,0.155057
8/20/2017,4087.66,301.43,46.23,38.19,0.158735
8/21/2017,4001.74,321.59,47.94,35.3,0.191918
8/22/2017,4100.52,314.79,46.73,35.85,0.239286
8/23/2017,4151.52,317.52,53.25,40,0.246827
8/24/2017,4334.68,325.61,50.19,42.05,0.218958
8/25/2017,4371.6,331.92,51.18,40.3,0.217828
8/26/2017,4352.4,333.88,51.75,38.59,0.212577
8/27/2017,4382.88,347.89,61.16,40.09,0.202995
8/28/2017,4382.66,347.75,62.36,38.45,0.224508
8/29/2017,4579.02,370.67,63.17,33.66,0.218564
8/30/2017,4565.3,378.49,64.17,33.1,0.228006
8/31/2017,4703.39,383.04,71.06,33.16,0.25563
9/1/2017,4892.01,387.74,86.04,32.01,0.248479
9/2/2017,4578.77,348.98,79.02,31.72,0.226669
9/3/2017,4582.96,347.48,76.84,30.32,0.228811
9/4/2017,4236.31,295.17,65.21,21.83,0.204968
9/5/2017,4376.53,312.99,71.29,22.8,0.215189
9/6/2017,4597.12,334.34,80.11,21.36,0.226186
9/7/2017,4599.88,329.43,78.48,30.78,0.22364
9/8/2017,4228.75,296.5,67.79,24.86,0.211518
9/9/2017,4226.06,294.4,66.01,21.96,0.209995
9/10/2017,4122.94,288.75,61.61,22.75,0.213031
9/11/2017,4161.27,294.53,66.04,21.88,0.214441
9/12/2017,4130.81,291.46,64.23,20.97,0.209303
9/13/2017,3882.59,277.11,61.73,20.06,0.200778
9/14/2017,3154.95,213.91,41.58,15.69,0.164167
9/15/2017,3637.52,250.46,48.21,18.74,0.181358
9/16/2017,3625.04,246.52,48.26,20.76,0.179082
9/17/2017,3582.88,251.75,48.49,19.86,0.178393
9/18/2017,4065.2,293.5,55.53,21.22,0.189768
9/19/2017,3924.97,282.8,52.84,19.94,0.184041
9/20/2017,3905.95,283.74,51.73,19.75,0.182078
9/21/2017,3631.04,258.58,46.61,17.45,0.171754
9/22/2017,3630.7,264.31,48.09,18.69,0.17351
9/23/2017,3792.4,286.17,49.27,20.18,0.177882
