currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic
dji,7/1/2017,21229.13095,178.8994331,21479.26953,1,62569.3113,250.1385842,0.011645582,Inf,3,4,0,-276.395234
bitcoin,7/1/2017,2513.243275,372.5474515,2434.55,1,6192.631597,78.69327543,0.03232354,Inf,1,0,0,-104.2173956
ethereum,7/1/2017,294.92,80.25608298,274.6,1,412.9024,20.32,0.073998543,Inf,0,0,1,-70.45571592
dji,7/2/2017,21420.24378,224.5106446,21479.26953,1,3484.039386,59.02575189,0.002748033,Inf,5,4,0,-266.0419089
bitcoin,7/2/2017,2481.341094,363.4941965,2506.47,1,631.4618948,25.12890556,0.010025616,Inf,1,0,0,-104.9483688
ethereum,7/2/2017,274.6,76.08081125,287.99,1,179.2921,13.39,0.04649467,Inf,0,0,1,-69.42036745
dji,7/3/2017,21388.84148,226.4483794,21479.26953,1,8177.231988,90.42804868,0.004210015,Inf,5,3,0,-265.6297841
bitcoin,7/3/2017,2538.909269,370.5553762,2564.06,1,632.5592564,25.15073073,0.009808948,Inf,1,0,0,-105.2283468
ethereum,7/3/2017,287.99,80.4184455,282.9,1,25.9081,5.09,0.017992223,Inf,0,0,1,-68.96869809
dji,7/4/2017,21437.03504,222.9426424,21478.16992,1,1692.078367,41.13488017,0.001915195,Inf,5,4,0,-265.5027079
bitcoin,7/4/2017,2582.15309,376.8690781,2601.64,1,379.7396521,19.48690976,0.007490241,Inf,1,0,0,-105.2605879
ethereum,7/4/2017,282.9,76.88976885,273.3,1,92.16,9.6,0.035126235,Inf,0,0,1,-70.52714563
dji,7/5/2017,21482.87794,226.6954107,21478.16992,1,22.16547192,4.708022082,0.0002192,Inf,5,4,0,-265.136674
bitcoin,7/5/2017,2612.847044,363.8473778,2601.99,1,117.8754007,10.85704383,0.004172592,Inf,1,0,0,-108.0408031
ethereum,7/5/2017,273.3,74.5581449,268.77,1,20.5209,4.53,0.01685456,Inf,0,0,1,-70.31213301
dji,7/6/2017,21485.8217,233.9913256,21320.03906,1,27483.88246,165.7826362,0.007775907,Inf,2,5,0,-265.2081304
bitcoin,7/6/2017,2614.390078,354.9010237,2608.56,1,33.98981243,5.830078253,0.00223498,Inf,1,0,0,-109.4361205
ethereum,7/6/2017,268.77,72.35954995,270.55,1,3.1684,1.78,0.006579191,Inf,0,0,1,-71.07413249
dji,7/7/2017,21385.52011,223.0356644,21414.33984,1,830.5767914,28.8197292,0.001345815,Inf,4,5,0,-264.8333668
bitcoin,7/7/2017,2615.608491,339.7988665,2518.66,1,9399.009829,96.9484906,0.038492091,Inf,1,0,0,-112.1470572
ethereum,7/7/2017,270.55,72.6886621,245.99,1,603.1936,24.56,0.099841457,Inf,0,0,1,-71.1930719
dji,7/8/2017,21335.56522,226.7296311,21408.51953,1,5322.331165,72.95430875,0.003407723,Inf,3,5,0,-265.5039711
bitcoin,7/8/2017,2547.224797,337.3108805,2571.34,1,581.543034,24.11520338,0.009378458,Inf,1,0,0,-110.9701267
ethereum,7/8/2017,245.99,68.23239083,251.7,1,32.6041,5.71,0.022685737,Inf,0,0,1,-69.35420867
dji,7/9/2017,21344.13275,197.7104196,21408.51953,1,4145.657333,64.38677918,0.003007531,Inf,5,4,0,-272.0075903
bitcoin,7/9/2017,2586.566946,342.314927,2518.44,1,4641.280793,68.12694616,0.027051248,Inf,1,0,0,-111.065594
ethereum,7/9/2017,251.7,68.60443317,242.14,1,91.3936,9.56,0.039481292,Inf,0,0,1,-70.36343413
dji,7/10/2017,21365.18325,195.9487086,21408.51953,1,1878.033583,43.33628483,0.002024254,Inf,4,4,0,-270.9782664
