class,rsi,adx,trend,preds,buy_sell,Date,Open,High,Low,Close,Volume,profits,,,,buy_thresh,0.65
0,35.78391862,22.17885372,-176.4896632,0.562551439,0,7/1/2017,2492.6,2515.27,2419.23,2434.55,779914000,0,,,,sell_thresh,0.35
1,29.91301898,22.27096581,-205.0048766,0.562551439,0,7/2/2017,2436.4,2514.28,2394.84,2506.47,803747000,0,,,,,
1,40.42847746,22.5016359,-116.0210816,0.458213806,0,7/3/2017,2498.56,2595,2480.47,2564.06,964112000,0,,,,,
1,47.37073776,21.94088416,-42.0498383,0.501717627,0,7/4/2017,2561,2631.59,2559.35,2601.64,985516000,0,,,,,
0,52.0273932,21.0885827,388.68,0.383242458,0,7/5/2017,2602.87,2622.65,2538.55,2601.99,941566000,0,,,,,
1,53.58822208,20.45264641,389.03,0.383242458,0,7/6/2017,2608.1,2616.72,2581.69,2608.56,761957000,0,,,,,
0,56.16959461,19.86213415,378.8548,0.383242458,0,7/7/2017,2608.59,2916.14,2498.87,2518.66,917412000,0,,,,,
1,43.61369889,19.8781659,272.879408,0.37788865,0,7/8/2017,2520.27,2571.34,2492.31,2571.34,733330000,0,,,,,
0,53.48379575,19.83522609,285.3378435,0.383242458,0,7/9/2017,2572.61,2635.49,2517.59,2518.44,527856000,0,,,,,
0,46.29734635,20.17757796,194.6295729,0.488891989,0,7/10/2017,2525.25,2537.16,2321.13,2372.56,1111200000,0,,,,,
0,31.30131547,18.89839319,-543.58,0.747503281,1,7/11/2017,2385.89,2413.47,2296.81,2337.79,1329760000,-48.1,,,,,
1,27.28780656,17.55707074,-578.35,0.747503281,1,7/12/2017,2332.77,2423.71,2275.14,2398.84,1117410000,66.07,,,,,
0,36.54754846,16.46796274,-492.5268,0.747503281,1,7/13/2017,2402.7,2425.22,2340.83,2357.9,835770000,-44.8,,,,,
0,32.80295817,15.44464549,-496.493192,0.747503281,1,7/14/2017,2360.59,2363.25,2183.22,2233.34,882503000,-127.25,,,,,
0,23.9806901,15.58378574,-586.2980005,0.747503281,1,7/15/2017,2230.12,2231.14,1990.41,1998.86,993608000,-231.26,,,,,
0,14.63544495,16.71811472,-769.8645604,0.771234214,1,7/16/2017,1991.98,2058.77,1843.03,1929.82,1182870000,-62.16,,,,,
1,11.62664544,18.37345522,-761.0731044,0.771234214,1,7/17/2017,1932.62,2230.49,1932.62,2228.41,1201760000,295.79,,,,,
1,40.34985693,18.57474681,-360.7395319,0.659629881,1,7/18/2017,2233.52,2387.61,2164.77,2318.88,1512450000,85.36,,,,,
0,46.75391187,17.75409019,-180.735188,0.484648585,0,7/19/2017,2323.08,2397.17,2260.23,2273.43,1245100000,0,,,,,
1,45.08255074,16.93415633,-147.3949655,0.520561516,0,7/20/2017,2269.89,2900.7,2269.89,2817.6,2249260000,0,,,,,
0,68.68600396,17.55651257,974.57,0.407636851,0,7/21/2017,2838.41,2838.41,2621.85,2667.76,1489450000,0,,,,,
1,62.18496048,18.1344148,824.73,0.327302754,-1,7/22/2017,2668.63,2862.42,2657.71,2810.12,1177130000,-141.49,,,,,
0,67.16322852,18.75781678,924.7832,0.407636851,0,7/23/2017,2808.1,2832.18,2653.94,2730.4,1072840000,0,,,,,
1,64.1901341,19.31172216,804.448672,0.407636851,0,7/24/2017,2732.7,2777.26,2699.19,2754.86,866474000,0,,,,,
0,66.15118586,19.82606288,789.9187251,0.407636851,0,7/25/2017,2757.5,2768.08,2480.96,2576.48,1460090000,0,,,,,
0,56.77830951,18.89302718,574.1083761,0.465665996,0,7/26/2017,2577.77,2610.76,2450.8,2529.45,937404000,0,,,,,
1,54.4156838,17.85348308,491.1452411,0.383242458,0,7/27/2017,2538.71,2693.32,2529.34,2671.78,789104000,0,,,,,
1,60.72065981,17.31686568,598.9794314,0.465665996,0,7/28/2017,2679.73,2897.45,2679.73,2809.01,1380100000,0,,,,,
0,66.42013895,17.73526515,703.0934542,0.407636851,0,7/29/2017,2807.02,2808.76,2692.8,2726.45,803746000,0,,,,,
1,61.27341305,18.12377894,588.742116,0.465665996,0,7/30/2017,2724.39,2758.53,2644.85,2757.18,705943000,0,,,,,
